n,x,y,z,mod_4,glyph,band
239,60,14341,205649940,3,🜃,60
242,61,7382,54486542,2,🜂,60
243,61,14824,219736152,3,🜃,61
245,62,5064,38461080,1,🜁,61
246,62,7627,58163502,2,🜂,61
247,62,15315,234533910,3,🜃,62
249,63,5230,27347670,1,🜁,62
250,63,7876,62023500,2,🜂,62
251,63,15814,250066782,3,🜃,63
253,64,5398,43702208,1,🜁,63
254,64,8129,66072512,2,🜂,63
255,64,16321,266358720,3,🜃,64
257,65,5570,18609370,1,🜁,64
258,65,8386,70316610,2,🜂,64
259,65,16836,283434060,3,🜃,65
261,66,5743,32976306,1,🜁,65
262,66,8647,74761962,2,🜂,65
263,66,17359,301317522,3,🜃,66
265,67,5920,21021920,1,🜁,66
266,67,8912,79414832,2,🜂,66
267,67,17890,320034210,3,🜃,67
269,68,6098,55772308,1,🜁,67
270,68,9181,84281580,2,🜂,67
271,68,18429,339609612,3,🜃,68
273,69,6280,39432120,1,🜁,68
274,69,9454,89368662,2,🜂,68
275,69,18976,360069600,3,🜃,69
277,70,6464,62668480,1,🜁,69
278,70,9731,94682630,2,🜂,69
279,70,19531,381440430,3,🜃,70
281,71,6674,1875394,1,🜁,70
282,71,10012,100230132,2,🜂,70
283,71,20094,403748742,3,🜃,71
285,72,6841,46792440,1,🜁,71
286,72,10297,106017912,2,🜂,71
287,72,20665,427021560,3,🜃,72
289,73,7038,8734158,1,🜁,72
290,73,10586,112052810,2,🜂,72
291,73,21244,451286292,3,🜃,73
293,74,7228,78358748,1,🜁,73
294,74,10879,118341762,2,🜂,73
295,74,21831,476570730,3,🜃,74
297,75,7426,55138050,1,🜁,74
298,75,11176,124891800,2,🜂,74
299,75,22426,502903050,3,🜃,75
301,76,7626,87226188,1,🜁,75
302,76,11477,131710052,2,🜂,75
303,76,23029,530311812,3,🜃,76
305,77,7830,36777510,1,🜁,76
306,77,11782,138803742,2,🜂,76
307,77,23640,558825960,3,🜃,77
309,78,8035,64553190,1,🜁,77
310,78,12091,146180190,2,🜂,77
311,78,24259,588474822,3,🜃,78
314,79,12404,153846812,2,🜂,78
315,79,24886,619288110,3,🜃,79
317,80,8454,107196720,1,🜁,79
318,80,12721,161811120,2,🜂,79
319,80,25521,651295920,3,🜃,80
321,81,8668,75125556,1,🜁,80
322,81,13042,170080722,2,🜂,80
323,81,26164,684528732,3,🜃,81
325,82,8884,118379300,1,🜁,81
326,82,13367,178663322,2,🜂,81
327,82,26815,719017410,3,🜃,82
329,83,9118,5297558,1,🜁,82
330,83,13696,187566720,2,🜂,82
331,83,27474,754793202,3,🜃,83
333,84,9325,86946300,1,🜁,83
334,84,14029,196798812,2,🜂,83
335,84,28141,791887740,3,🜃,84
337,85,9550,54711950,1,🜁,84
338,85,14366,206367590,2,🜂,84
339,85,28816,830333040,3,🜃,85
341,86,9776,143345488,1,🜁,85
342,86,14707,216281142,2,🜂,85
343,86,29499,870161502,3,🜃,86
345,87,10006,100110030,1,🜁,86
346,87,15052,226547652,2,🜂,86
347,87,30190,911405910,3,🜃,87
349,88,10238,157214728,1,🜁,87
350,88,15401,237175400,2,🜂,87
351,88,30889,954099432,3,🜃,88
353,89,10502,3707206,1,🜁,88
354,89,15754,248172762,2,🜂,88
355,89,31596,998275620,3,🜃,89
357,90,10711,114714810,1,🜁,89
358,90,16111,259548210,2,🜂,89
359,90,32311,1043968410,3,🜃,90
362,91,16472,271310312,2,🜂,90
363,91,33034,1091212122,3,🜃,91
365,92,11194,187947260,1,🜁,91
366,92,16837,283467732,2,🜂,91
367,92,33765,1140041460,3,🜃,92
369,93,11440,130862160,1,🜁,92
370,93,17206,296029230,2,🜂,92
371,93,34504,1190491512,3,🜃,93
373,94,11688,204902328,1,🜁,93
374,94,17579,309003662,2,🜂,93
375,94,35251,1242597750,3,🜃,94
377,95,11940,85526220,1,🜁,94
378,95,17956,322399980,2,🜂,94
379,95,36006,1296396030,3,🜃,95
381,96,12193,148657056,1,🜁,95
382,96,18337,336227232,2,🜂,95
383,96,36769,1351922592,3,🜃,96
385,97,12450,92989050,1,🜁,96
386,97,18722,350494562,2,🜂,96
387,97,37540,1409214060,3,🜃,97
389,98,12708,242227188,1,🜁,97
390,98,19111,365211210,2,🜂,97
391,98,38319,1468307442,3,🜃,98
393,99,12970,168207930,1,🜁,98
394,99,19504,380386512,2,🜂,98
395,99,39106,1529240130,3,🜃,99
397,100,13234,262694900,1,🜁,99
398,100,19901,396029900,2,🜂,99
399,100,39901,1592049900,3,🜃,100
401,101,13534,5427134,1,🜁,100
402,101,20302,412150902,2,🜂,100
403,101,40704,1656774912,3,🜃,101
405,102,13771,189626670,1,🜁,101
406,102,20707,428759142,2,🜂,101
407,102,41515,1723453710,3,🜃,102
410,103,21116,445864340,2,🜂,102
411,103,42334,1792125222,3,🜃,103
413,104,14318,307493368,1,🜁,103
414,104,21529,463476312,2,🜂,103
415,104,43161,1862828760,3,🜃,104
417,105,14596,213028620,1,🜁,104
418,105,21946,481604970,2,🜂,104
419,105,43996,1935604020,3,🜃,105
421,106,14876,331928188,1,🜁,105
422,106,22367,500260322,2,🜂,105
423,106,44839,2010491082,3,🜃,106
425,107,15160,137880200,1,🜁,106
426,107,22792,519452472,2,🜂,106
427,107,45690,2087530410,3,🜃,107
429,108,15445,238532580,1,🜁,107
430,108,23221,539191620,2,🜂,107
431,108,46549,2166762852,3,🜃,108
434,109,23654,559488062,2,🜂,108
435,109,47416,2248229640,3,🜃,109
437,110,16024,385136840,1,🜁,109
