n,x,y,z,tier,method,status
77761,,,,T5,Failed (rational residue or no matching identity),failure
78121,,,,T5,Failed (rational residue or no matching identity),failure
78193,,,,T5,Failed (rational residue or no matching identity),failure
78649,,,,T5,Failed (rational residue or no matching identity),failure
80089,,,,T5,Failed (rational residue or no matching identity),failure
80809,,,,T5,Failed (rational residue or no matching identity),failure
80833,,,,T5,Failed (rational residue or no matching identity),failure
81001,,,,T5,Failed (rational residue or no matching identity),failure
82009,,,,T5,Failed (rational residue or no matching identity),failure
82393,,,,T5,Failed (rational residue or no matching identity),failure
83689,,,,T5,Failed (rational residue or no matching identity),failure
84121,,,,T5,Failed (rational residue or no matching identity),failure
84481,,,,T5,Failed (rational residue or no matching identity),failure
84649,,,,T5,Failed (rational residue or no matching identity),failure
85849,,,,T5,Failed (rational residue or no matching identity),failure
87049,,,,T5,Failed (rational residue or no matching identity),failure
87121,,,,T5,Failed (rational residue or no matching identity),failure
87361,,,,T5,Failed (rational residue or no matching identity),failure
88513,,,,T5,Failed (rational residue or no matching identity),failure
88729,,,,T5,Failed (rational residue or no matching identity),failure
88969,,,,T5,Failed (rational residue or no matching identity),failure
90289,,,,T5,Failed (rational residue or no matching identity),failure
91081,,,,T5,Failed (rational residue or no matching identity),failure
91129,,,,T5,Failed (rational residue or no matching identity),failure
92401,,,,T5,Failed (rational residue or no matching identity),failure
92569,,,,T5,Failed (rational residue or no matching identity),failure
93481,,,,T5,Failed (rational residue or no matching identity),failure
94249,,,,T5,Failed (rational residue or no matching identity),failure
95281,,,,T5,Failed (rational residue or no matching identity),failure
96721,,,,T5,Failed (rational residue or no matching identity),failure
97969,,,,T5,Failed (rational residue or no matching identity),failure
98641,,,,T5,Failed (rational residue or no matching identity),failure
99289,,,,T5,Failed (rational residue or no matching identity),failure
100489,,,,T5,Failed (rational residue or no matching identity),failure
102521,,,,T5,Failed (rational residue or no matching identity),failure
103249,,,,T5,Failed (rational residue or no matching identity),failure
103321,,,,T5,Failed (rational residue or no matching identity),failure
105169,,,,T5,Failed (rational residue or no matching identity),failure
106681,,,,T5,Failed (rational residue or no matching identity),failure
107881,,,,T5,Failed (rational residue or no matching identity),failure
108289,,,,T5,Failed (rational residue or no matching identity),failure
109561,,,,T5,Failed (rational residue or no matching identity),failure
110281,,,,T5,Failed (rational residue or no matching identity),failure
111049,,,,T5,Failed (rational residue or no matching identity),failure
112729,,,,T5,Failed (rational residue or no matching identity),failure
113161,,,,T5,Failed (rational residue or no matching identity),failure
113569,,,,T5,Failed (rational residue or no matching identity),failure
114601,,,,T5,Failed (rational residue or no matching identity),failure
115081,,,,T5,Failed (rational residue or no matching identity),failure
115201,,,,T5,Failed (rational residue or no matching identity),failure
115249,,,,T5,Failed (rational residue or no matching identity),failure
116089,,,,T5,Failed (rational residue or no matching identity),failure
117529,,,,T5,Failed (rational residue or no matching identity),failure
117721,,,,T5,Failed (rational residue or no matching identity),failure
117889,,,,T5,Failed (rational residue or no matching identity),failure
119809,,,,T5,Failed (rational residue or no matching identity),failure
120121,,,,T5,Failed (rational residue or no matching identity),failure
120409,,,,T5,Failed (rational residue or no matching identity),failure
120481,,,,T5,Failed (rational residue or no matching identity),failure
121369,,,,T5,Failed (rational residue or no matching identity),failure
121801,,,,T5,Failed (rational residue or no matching identity),failure
122761,,,,T5,Failed (rational residue or no matching identity),failure
122929,,,,T5,Failed (rational residue or no matching identity),failure
124609,,,,T5,Failed (rational residue or no matching identity),failure
126961,,,,T5,Failed (rational residue or no matching identity),failure
127249,,,,T5,Failed (rational residue or no matching identity),failure
